ts	phase	decision	why	evidence	result
2026-09-06T08:45:33Z	frame	wrote the predicate as a file before the first iteration	a vague goal stalls and the owner is away, so the stop condition has to outlive my context	.audit/EXIT-PREDICATE-OWNER-REVIEW.md	set
2026-09-06T08:45:33Z	dispatch	three agents, grouped so no two share a file	the owner has counted running processes himself and asked for fewer, and a shared file is where two agents disagree at the seam	issues 404 405 406 on one, 408 on one, 407 on one	running
2026-09-06T08:51:34Z	baseline	measured the before state on production before any fix landed	a fix I cannot compare against a measured before is a claim, not a result	.audit/baseline-owner-review.json, 3 itineraries, no console errors, no fixture leak	all four complaints reproduced
2026-09-06T08:51:34Z	baseline	ground-leg preview land path is 1 of 1 solid full-box fill	confirms 408 is the 81.6 km guard firing and not a rendering fault	.audit/baseline-owner-review.json groundLegs.solid=1 total=1	confirmed on production
2026-09-06T08:51:34Z	baseline	stay row reads "rated 7.6/10 11.2 km from airport 638 m from centre from EUR34.65/night EUR34.65 total +EUR5.68/night +EUR5.68 over 1 night"	confirms 404: two numbers printed twice at one night, and no journey time anywhere	.audit/baseline-owner-review.json stayRows[0]	confirmed on production
2026-09-06T09:11:29Z	lever	fixed and committed tools/verify-production.mjs instead of trusting it	it reported 4 skips and 2 stale failures, and a check nobody has watched fail is not a check	PR 409, went from 24p/2f/4skip to 31p/3f/0skip	the 3 remaining failures are 405 406 408
2026-09-06T09:11:29Z	lever	scoped the stay-sort check to .stay-alternatives after watching it pass vacuously	unscoped it matched "Sort 3 trips into place" on the page behind the panel while the stay list had no control at all	tools/verify-production.mjs	flipped PASS to FAIL, which is the truth
2026-09-06T09:12:21Z	resteer	told the fare agent the transitous cache key has no shape version	it caches Transfer[] and serves it at any age, so adding a fare field would leave every returning user fareless forever, the exact #131 defect	transitous.ts:163 vs osrm.ts:448 ROUTE_CACHE_SHAPE_VERSION	sent
2026-09-06T09:21:03Z	seam	found both the stays and maps agents rewriting the same regions of osrm.ts and told each what the other holds	a conflict resolved by taking one side would silently drop either the thin-entry cache fix or the full-geometry version bump, and both are correct	osrm.ts getCachedRoute and ROUTE_CACHE_SHAPE_VERSION	both told to verify the merged diff, not the conflict markers
2026-09-06T09:21:03Z	finding	the stays agent found a latent bug: getCachedRoute served duration-only table entries as complete answers	it was safe only because nothing in src called findTransfersToMany, and 405 gives it a caller, so the fare and the map would read a thin entry as complete for 30 days	osrm.ts requireDistance flag	fix must survive the merge
2026-09-06T09:23:29Z	pre-empt	told the stays agent the qa bench answers every OSRM host request with the route fixture	its table lookup would throw a malformed-response error and every behavioural check would fail at its is-there-anything-on-screen line, the documented #166 shape	tests/qa/support/bench.ts:287	sent
2026-09-06T09:23:29Z	pre-empt	told the maps agent a committed spec pins overview=simplified	its change to full breaks the assertion #118 wrote, and the claim behind that assertion is still worth keeping	tests/e2e/itinerary-map-transfers.spec.ts:323	sent
2026-09-06T09:29:49Z	blocked	cannot merge any PR: the harness permission classifier denies gh pr merge and the equivalent gh api call	the owner granted full permission verbally but the sandbox rule is separate from that, and working around it would subvert the guard rather than the owner	PR 409 green on check e2e qa, base equals origin-main, still open	E1 and E2 cannot be met without him
2026-09-06T09:29:49Z	decision	keep every agent running and stack reviewed green PRs at the merge gate	the review, the verification and the conflict reconciliation are all still mine to do, and only the final button needs him	-	proceeding
2026-09-06T09:34:31Z	unblocked	merged 409 after the owner granted the permission explicitly	the classifier, not the owner, was the gate, and he lifted it rather than me routing around it	40911b1 on main, Deploy succeeded in 44s	E2 back to 0 open PRs
2026-09-06T09:34:31Z	note	gh pr merge --delete-branch reports a git failure after a successful merge here	main is checked out in another worktree so the local cleanup step dies, and AGENTS.md warns this fails quietly if stderr is redirected	PR 409 merged at 09:31:52 despite the error text	check the PR state, never the exit code
